"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"860","Maura Furlotti","Denmark",2,0,"1991-07-14","1991-07-14","🇩🇰"
"861","Mayra Ramírez","Colombia",2,0,"2024-08-03","2024-08-03","🇨🇴"
"862","Megan Connolly","Canada",2,0,"2023-07-26","2023-07-26","🇨🇦"
"863","Mia Brogaard","Denmark",2,0,"2013-07-13","2013-07-16","🇩🇰"
"864","Miray Cin","Turkey",2,0,"2024-04-09","2024-04-09","🇹🇷"
"865","Momoko Tanikawa","Japan",2,0,"2024-07-28","2024-07-28","🇯🇵"
"866","Monika Meyer","Germany",2,0,"1997-07-06","1997-07-06","🇩🇪"
"867","Natalia Kuikka","Finland",2,0,"2024-12-03","2024-12-03","🇫🇮"
"868","Natasha Kai","United States",2,0,"2008-08-15","2008-08-15","🇺🇸"
"869","Nia Künzer","Germany",2,0,"2003-10-12","2003-10-12","🇩🇪"
"870","Nichelle Prince","Canada",2,0,"2019-06-15","2019-06-15","🇨🇦"
"871","Nicole Kozlova","Ukraine",2,0,"2024-06-04","2024-06-04","🇺🇦"
"872","Noa Selimhodzic","Israel",2,0,"2024-07-16","2024-07-16","🇮🇱"
"873","Olesya Kurochkina","Russia",2,0,"2009-08-28","2009-08-28","🇷🇺"
"874","Olga Ševcova","Latvia",2,0,"2024-07-12","2024-07-12","🇱🇻"
"875","Paola Zanni","Italy",2,0,"1999-06-27","1999-06-27","🇮🇹"
"876","Patrícia Hmírová","Slovakia",2,0,"2024-04-05","2024-04-05","🇸🇰"
"877","Polina Rasina","Bulgaria",2,0,"2024-04-09","2024-04-09","🇧🇬"
"878","Pu Wei","China PR",2,0,"1999-06-30","1999-06-30","🇨🇳"
"879","Rachel Van Hollebeke","United States",2,0,"2011-06-28","2011-06-28","🇺🇸"
"880","Rachel Yankey","England",2,0,"2011-07-05","2011-07-05","🇬🇧"
"881","Raffaella Salmaso","Italy",2,0,"1991-11-24","1991-11-24","🇮🇹"
"882","Rahel Kiwic","Switzerland",2,0,"2022-07-09","2022-07-09","🇨🇭"
"883","Rebekah Stott","New Zealand",2,0,"2015-06-15","2015-06-15","🇳🇿"
"884","Romina Núñez","Argentina",2,0,"2023-07-28","2023-07-28","🇦🇷"
"885","Rosa Kafaji","Sweden",2,0,"2024-11-28","2024-11-28","🇸🇪"
"886","Roseli","Brazil",2,0,"1996-07-28","1996-07-28","🇧🇷"
"887","Roseli de Belo","Brazil",2,0,"1995-06-05","1995-06-09","🇧🇷"
"888","Saki Kumagai","Japan",2,1,"2024-07-28","2024-07-28","🇯🇵"
"889","Sandy Baltimore","France",2,0,"2025-07-05","2025-07-05","🇫🇷"
"890","Saori Ariyoshi","Japan",2,0,"2015-06-23","2015-06-23","🇯🇵"
"891","Sara Larsson","Sweden",2,0,"2004-08-20","2004-08-20","🇸🇪"
"892","Sari Kees","Belgium",2,0,"2024-04-09","2024-04-09","🇧🇪"
"893","Saskia Bartusiak","Germany",2,0,"2016-08-06","2016-08-06","🇩🇪"
"894","Selma Bacha","Netherlands",2,0,"2025-07-13","2025-07-13","🇳🇱"
"895","Seraina Piubel","Switzerland",2,0,"2023-07-21","2023-07-21","🇨🇭"
"896","Shira Elinav","Israel",2,0,"2024-07-16","2024-07-16","🇮🇱"
"897","Sophia Braun","Argentina",2,0,"2023-07-28","2023-07-28","🇦🇷"
"898","Stephany Mayor","Mexico",2,0,"2011-07-05","2011-07-05","🇲🇽"
"899","Susanne Hedberg","Sweden",2,0,"1991-11-21","1991-11-21","🇸🇪"
"900","Sydney Leroux","United States",2,0,"2012-08-03","2012-08-03","🇺🇸"
"901","Sydney Schertenleib","Switzerland",2,0,"2024-07-12","2024-07-12","🇨🇭"
"902","Sylvia Smit","Netherlands",2,0,"2009-08-29","2009-08-29","🇳🇱"
"903","Tameka Yallop","Australia",2,0,"2021-07-21","2021-07-21","🇦🇺"
"904","Tan Ruyin","China PR",2,0,"2016-08-06","2016-08-06","🇨🇳"
"905","Tatiana Zorri","Italy",2,0,"2009-08-31","2009-08-31","🇮🇹"
"906","Theresa Nielsen","Denmark",2,0,"2017-07-30","2017-07-30","🇩🇰"
"907","Tone Haugen","Norway",2,0,"1995-06-08","1995-06-08","🇳🇴"
"908","Ugnė Lazdauskaitė","Lithuania",2,0,"2024-04-05","2024-04-05","🇱🇹"
"909","Vesna Milivojević","Serbia",2,0,"2024-10-25","2024-10-25","🇷🇸"
"910","Viktoriya Valiuk","Belarus",2,0,"2024-07-12","2024-07-12","🇧🇾"
"911","Violeta Slović","Serbia",2,0,"2024-05-31","2024-05-31","🇷🇸"
"912","Vital Kats","Israel",2,0,"2024-04-09","2024-04-09","🇮🇱"
"913","Wang Yanwen","China PR",2,0,"2021-07-27","2021-07-27","🇨🇳"
"914","Waraporn Boonsing","Chile",2,0,"2019-06-20","2019-06-20","🇨🇱"
"915","Xie Caixia","China PR",2,0,"2007-09-20","2007-09-20","🇨🇳"
"916","Yana Kalinina","Ukraine",2,0,"2024-06-04","2024-06-04","🇺🇦"
"917","Yuki Nagasato","Japan",2,0,"2008-08-15","2008-08-15","🇯🇵"
"918","Zala Kuštrin","Slovenia",2,0,"2024-04-05","2024-04-05","🇸🇮"
"919","Ángeles Parejo","Spain",2,0,"1997-07-05","1997-07-09","🇪🇸"
"920","Élisa De Almeida","France",2,0,"2024-05-31","2024-05-31","🇫🇷"
"921","Alexandra Svetlitskaya","Russia",1,0,"2001-06-24","2001-06-24","🇷🇺"
"922","Allyson Swaby","Jamaica",1,0,"2023-07-29","2023-07-29","🇯🇲"
"923","Ana Maria Stanciu","Romania",1,0,"2024-10-29","2024-10-29","🇷🇴"
"924","Andressa Alves da Silva","Brazil",1,0,"2015-06-13","2015-06-13","🇧🇷"
"925","Angela Banks","England",1,0,"2001-06-24","2001-06-24","🇬🇧"
"926","Angie Ponce","Ecuador",1,1,"2015-06-12","2015-06-12","🇪🇨"
"927","Anissa Lahmari","Morocco",1,0,"2023-08-03","2023-08-03","🇲🇦"
"928","Anita Amankwa","Ghana",1,0,"2007-09-12","2007-09-12","🇬🇭"
"929","Anna Matsoukari","Cyprus",1,0,"2024-07-12","2024-07-12","🇨🇾"
"930","Anna Sjöström","Sweden",1,0,"2005-06-11","2005-06-11","🇸🇪"
"931","Anne Nymark Andersen","Norway",1,0,"1993-06-29","1993-06-29","🇳🇴"
"932","Annette Thychosen","Denmark",1,1,"1991-11-21","1991-11-21","🇩🇰"
"933","Antonella Carta","Italy",1,0,"1997-06-30","1997-06-30","🇮🇹"
"934","Ashley Lawrence","Canada",1,0,"2015-06-15","2015-06-15","🇨🇦"
"935","Aurelle Awona","New Zealand",1,0,"2019-06-20","2019-06-20","🇳🇿"
"936","Berglind Björg Þorvaldsdóttir","Iceland",1,0,"2022-07-10","2022-07-10","🇮🇸"
"937","Betsy Hassett","New Zealand",1,0,"2021-07-24","2021-07-24","🇳🇿"
"938","Carla Overbeck","Sweden",1,0,"1996-07-23","1996-07-23","🇸🇪"
"939","Claudia Chiper","Moldova",1,0,"2024-07-16","2024-07-16","🇲🇩"
"940","Cynthia Uwak","Nigeria",1,0,"2007-09-11","2007-09-11","🇳🇬"
"941","Daniela Montoya","Colombia",1,0,"2015-06-09","2015-06-09","🇨🇴"
"942","Debbie Bampton","England",1,0,"1984-04-28","1984-04-28","🇬🇧"
"943","Diana Matheson","Canada",1,0,"2012-08-09","2012-08-09","🇨🇦"
"944","Diána Csányi","Hungary",1,0,"2024-04-09","2024-04-09","🇭🇺"
"945","Dominika Grabowska","Poland",1,0,"2024-06-04","2024-06-04","🇵🇱"
"946","Dóra Zeller","Hungary",1,0,"2024-05-31","2024-05-31","🇭🇺"
"947","Ebru Topçu","Turkey",1,1,"2024-05-31","2024-05-31","🇹🇷"
"948","Elane Rego dos Santos","Brazil",1,0,"1991-11-17","1991-11-17","🇧🇷"
"949","Elena Terekhova","Russia",1,0,"2013-07-18","2013-07-18","🇷🇺"
"950","Elisabetta Oliviero","Italy",1,0,"2025-07-11","2025-07-11","🇮🇹"
"951","Elise Kellond-Knight","Australia",1,0,"2019-06-22","2019-06-22","🇦🇺"
"952","Elise Thorsnes","Norway",1,0,"2011-07-06","2011-07-06","🇳🇴"
"953","Eliška Sonntagová","Czech Republic",1,0,"2024-04-09","2024-04-09","❓"
